Titles,VideoIDs,ChannelIDs,Views,Subs_count
[ 2023. 07. 22 사이퍼즈 자낳대 경매 + 연습 w. 행수 헤징 꽃핀 라마 김유승 ],nMCve2eCgGo,UCa4GCwCq8MFAVz7IcHGE3ug,11774,9070
우승 경력 없는 사람이 둘이나 있는 팀 [김뿡],geHxTGhVMCs,UCK3k-JljWSFBYCPCtvrhbvg,107934,109000
[ 2023. 06. 20 발낮대 관전 중계 + 플레임 제트 연습 ],pS3Ii4Q-a5c,UCa4GCwCq8MFAVz7IcHGE3ug,7164,9070
탬개구리야 나 못 참겠어 [김뿡],QpcNiDDiDBg,UCK3k-JljWSFBYCPCtvrhbvg,135404,109000
춘향님~ [김뿡],hcxGh_8DkXI,UCK3k-JljWSFBYCPCtvrhbvg,182011,109000
설백공주 헤징왕자 못난이 둘 [김뿡],ogFTjFvlf34,UCK3k-JljWSFBYCPCtvrhbvg,93393,109000
한 번 말하면 멈출 수 없는 단어 [김뿡],8nJJnaclZGw,UCK3k-JljWSFBYCPCtvrhbvg,63544,109000
픽셀,0qfXPIBFyHA,UCiMq04sS1ijeM0tda9OkuQw,929,105000
"어제의 칩셋, 오늘의 폰. 픽셀 7a 리뷰",P5IntkUJ91g,UC_0oo0GPlDUU88ubLDnJkSQ,120965,735000
픽셀은 도대체 어떤 곳일까?,Cq7t2kFt1sA,UCNYV6yOqwfY863iKiGVjGGQ,68235,22800
제작비를 무려 1800억이나 쏟아부은 참신한 소재의 개꿀잼영화ㅋㅋㅋㅋ,bV1nvNLJYBU,UCbf5QEwRTGts98TNv2Uc_5Q,523228,80600
ㅎ▽ㅎ,b_oixeN9600,UCiMq04sS1ijeM0tda9OkuQw,296544,105000
구글은 이게 싸다고 생각하나봐요;; 픽셀 7a 개봉기,W9O_EyprBh4,UC_0oo0GPlDUU88ubLDnJkSQ,143165,735000
살면서 대놓고 사기치는게임은 처음봤습니다  [픽셀히어로 뽑기 확률 조작],wiLtcWXr18s,UCQOL6_MBCFXr3M9OTmwl9pg,469306,251000
"SNS 광고, 경쟁사는 다 하고있는 픽셀 설치부터 실제 사용법까지 알려드립니다!",U6DCZCIqJo0,UCCZEqe3-h1IKKsMLNIZmJ1A,5302,36400
"마케팅쉐어_#인스타광고 필수 설치! #페북픽셀 , #인스타픽셀 정의와 활용예시 강의",zepu6F2PWFk,UCzIfP9UoIjy_82-325yIzIg,5868,4950
픽셀식 기강 잡기,Q9E98-x0_D8,UCNKam43W5s-LfRMKcd9Jg5Q,66878,134000
